Product ID,Smell Main Group,Smell Sub-Group,Top,Middle,Bottom,% smell used
AR309941,Oriental,Gourmand,"coconut, almond","gourmande, sweet, chocolate",vanilla,7%
AR452415,Floral,Floriental,"hot pink pepper, strawberry and cassis","heady tuberose, jasmine,  white lily whilst","Patchouli, vanilla, precious musk",7%
AR289591,Oriental,Floriental,"coconut, milk",Jasmin,"vanilla, caramelized sugar",5%
AL223556,Fresh,Fruity,"Citrus, Orange, Bergamot","Citrus, Green Mango, Sea Salt","Sea Kelp, Floral, Amber",7%
AL223563,Fresh,Flowery,"Lavender, Moss","Sea Minerals, Bergamot","Sandalwood, Amber",7%
AL223569,Fruity,Fresh,"Citrus, Pineapple, Tropical","Hibiscus, Guava, Berry","Sugar Cane, Fruit, Floral",7%
AL223571,Sweet,Sweet,Mandarin; Lime,Berry; Fruit; Orange,Floral; Orange; Soft Musk,5%
19030F,Fresh,Fruity,"sparkling lemon, ginger, bergamot, orange","Japanese plum, orchard fruits, blackberry","white sandalwood, dry cedar, rosewood",5%
21657F,Fresh,Citrus,"Bergamot, orange, pink citron","Orange blossom, orchid, mimosa blossom","creamy sandalwood, teakwood, tonka bean",5%
11062F,Oriental,Gourmand,"melted butter, graham cracker","sweet caramel, whipped milk","caramelized sugar, vanill bean",5%
18798F,Oriental,Gourmand,"lemon zest, sugarcane","cinnamon leaf, milky notes","creamy nutmeg, vanilla bean, sweet musk",7%
19772F,Oriental,Gourmand,"crisp apple, chamomile, bergamot","cinnamon stick, clove, bud, rosemary, raspberry","flint accord, cedar leaf, sandalwood, incense, patchouli",7%
17711F,Fresh,Green,"orange zest, bergamot, cassis","clove leaf, redberry, cashmere, mulberry","vanilla, fluid musk, white balsam",7%
14708F,Oriental,Gourmand,"Lemon Peel, Clove Leaf","Cinnamon Bark, Grated Nutmeg"," Bing Cherry, Sugared Vanilla",5%
14708F,Oriental,Gourmand,"Lemon Peel, Clove Leaf","Cinnamon Bark, Grated Nutmeg"," Bing Cherry, Sugared Vanilla",5%
29383F,Fresh,Powdery,"sun-dried linen accord, bergamot zest, leafy greens","lily of the valley, rose petal, vetiver","white cedar, clean musk, violet leaf",5%
29383F,Fresh,Powdery,"sun-dried linen accord, bergamot zest, leafy greens","lily of the valley, rose petal, vetiver","white cedar, clean musk, violet leaf",5%
18123F,Oriental,Gourmand,"Lemon zest, bergamot, clementine","sweet vanilla cloud, sugar confection","spiced sugar cookie, sprinkled cinnamon, hazelnut cream",5%
18123F,Oriental,Gourmand,"Lemon zest, bergamot, clementine","sweet vanilla cloud, sugar confection","spiced sugar cookie, sprinkled cinnamon, hazelnut cream",5%
26161F,Oriental,Gourmand,"Arabica coffee bean, espresso, cardamom","hazelnut, atlas cedar","vanilla pod, tonka bean",5%
17182F,Oriental,Gourmand,"angel food cake accord, whipped buttercream",french vanilla bean,coconut milk,5%
23418F,Fresh,Powdery,"Sun-Dried Linen Accord, Bergamot Zest, Leafy Greens","Lily of the Valley, Rose Petal, Vetiver","White Cedar, Clean Musk, Violet Leaf",5%
19595F,Fresh,Green,"Orange Peel, Cyclamen","Leafy Greens, Violet Leaf","Sweet Grass, Hay",7%
24263F,Oriental,Gourmand,"lemon peel, groun cinnamon","grated ginger, star anise, clove bud","baked cooki, maple sugar, vanilla bean",5%
19934F,Floral,Floral,"lemon peel, clove leaf","star gazer lily, indian jasmine","dewy leafy greens, tea rose",5%
29668F,Woody,Fougere,"Pineapple Leaf, Crisp Eucalyptus","Wild Lavender, Lavandin","White Patchouli, Smooth Musk",5%
20275F,Fresh,Citrus,"orange peel, lemon zest, kaffir lime","crushed peppermint, indonesian lemongrass","black currant, applewood",5%
29673F,Fresh,Citrus,"green mandarin, mango, lemon drops","sweet nutmeg, cherry blossom","sweet milk, bourbon vanilla",5%
29505F,Oriental,Gourmand,"crushed pineapple, bergamot","coconut milk, sparkling ginger","warm vanilla, crystalized sugar cane",7%
29391F,Fresh,Water,"orange zest, bergamot, freesia","calone, clove bud, lilac, cyclamen, mossy notes","musky notes, sandalwood, cinnamon leaf",5%
15107F,Fresh,Fruity,"lemon zest, orange zest, strawberry","raspberry, neroli, white flower","vanilla bean, fruity musk",5%
22951F,Floral,Floral,"Chinese ginger, rose oil, raspberry","rosewood, Turkish rose, lotus flower","sandalwood, patchouli, velvet oud",5%
36620F,Floral,Floriental,"Chinese ginger, rose oil, raspberry","rosewood, Turkish rose, lotus flower, tonka","sandalwood, patchouli, velvet oud, vanilla bean",3%
22966F,Fresh,Fruity,"orange peel, sun-kissed raspberry, ripe strawberry","strawberry leaf, concord grape, pineapple","shredded coconut, lush greens, sugared vanilla",5%
20401F,Fresh,Fruity,"Whipped Cream Accord, Monterey Strawberry","Wild Cherry, Blue Raspberry","Pineapple Leaf, Spun Sugar Accor",5%
26269F,Fresh,Fruity,"Valencia Orange, Maraschino Cherry, Raspberry Leaf","Wild Strawberry, Violet Petal, Lush Greens","Granulated Sugar, Green Apple Peel, Soft Vanilla",5%
19947F,Fresh,Citrus,"green mandarin, lemon peel, lime","elemi, pink pepper, neroli, white flowers","musky notes, tonka, sandalwood",5%
17282F,Floral,Floral,"Meyer Lemon, Apricot Blossom, Violet Leaf","Sweet Pea, Clove Leaf, Lily Belle","Leafy Greens, Star Anise, White Musk",5%
30915F,Fresh,Citrus,"Sparkling Mandarin, Lush Berry, Mimosa Blossom","Apricot Nectar, White Thyme, Lavandin","Tuscan Cypress, Violet Leaf, Sheer Musk",7%
29300F,Oriental,Woody Oriental,"honeysuckle, geranium","oakmoss, tonka bean, rosewood","sandalwood, white amber, musk, vetiver",5%
12330-401-5,Oriental,Gourmand,"Aromatic, Hawthorne","Carnation, Iris, Geranium","Vanilla, Amber, Sandalwood",7%
12380-401-5,Oriental,Ambery,"Incense, Cistus, Labdanum, Geranium","Rose, Saffron, Amber, Vanilla","Oudwood, Orris, Violet, Leather",5%
11596-401-5,Woody,Fougere,Cedarwood,"Iris, Patchouly","Musk, Powdery, Vanilla",5%
11814-489-3,Fresh,Green,"Bergamot, Bamboo, Green Aloe Leaf","Jasmine, Rose","Musk, Amber",7%
11592-401-6,Oriental,Woody Oriental,"Bergamot, Ginger",Geranium,"Sandalwood, Cedarwood, Patchouly",7%
11464-489-2,Fresh,Fruity,Forest Strawberry,"Peach, Green Leaves","Milk, Vanilla",5%
1142803,Fresh,Fruity,"Fruity, Tropical","Fruity, Floral","Sweet, Fruity",5%
1142810,Oriental,Gourmand,"Chocolate, truffel","Chocolate, sugar","Chocolate, toffee",5%
PF65781,Fresh,Fruity,"Cinnamon, clove, plum, apple, orange","Cinnamon, clove, ginger, dried fruits, raisins, berries","Fried fruits, vanilla ",7%
PF93212,Oriental,Soft Oriental,Orange,"Lily, jasmine, violet, orange blossom","Sheer musk, blonde woods, vanilla",5%
PF97733,Fresh,Citrus,"Sweet orange, mandarin, lemon zest, tart cranberry","Powdery raspberry, red berries","Cinnamon, clover",7%
